"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Level 1","Level 2","Level 3","Level 4","Level 5","Level 6","Top Level",Homepage?,"Toggle URL"
3,"Content Page","Standard Page",basic_page,/scams-and-fraud/imposter-scams,116,"Imposter scams",https://www.usa.gov/scams-and-fraud/imposter-scams,Home,"Scams and fraud","Imposter scams","Imposter scams","Imposter scams","Imposter scams","USAGov English",not_homepage,https://www.usa.gov/es/estafas-impostores
4,"Content Page","Standard Page",basic_page,/about-the-us/buy-from-government/auctions-and-sales,144,"Government auctions of seized and surplus property",https://www.usa.gov/about-the-us/buy-from-government/auctions-and-sales,Home,"About the U.S. and its government","Buying from the U.S. government","Seized and surplus property","Seized and surplus property","Seized and surplus property","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-registration/voter-registration-deadlines,274,"Voter registration deadlines",https://www.usa.gov/voting-and-elections/voter-registration/voter-registration-deadlines,Home,"Voting and elections","Voter registration","Voter registration deadlines","Voter registration deadlines","Voter registration deadlines","USAGov English",not_homepage,https://www.usa.gov/es/fechas-limite-registrarse-electoral
3,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/how-to-vote,249,"How, where, and when to vote",https://www.usa.gov/voting-and-elections/how-to-vote,Home,"Voting and elections","How, where, and when to vote","How, where, and when to vote","How, where, and when to vote","How, where, and when to vote","USAGov English",not_homepage,https://www.usa.gov/es/como-votar-en-estados-unidos
4,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/how-to-vote/election-day,253,"Voting on Election Day",https://www.usa.gov/voting-and-elections/how-to-vote/election-day,Home,"Voting and elections","How, where, and when to vote","Voting on Election Day","Voting on Election Day","Voting on Election Day","USAGov English",not_homepage,https://www.usa.gov/es/votar-dia-elecciones
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-registration/voter-registration-card,271,"How to get a voter registration card",https://www.usa.gov/voting-and-elections/voter-registration/voter-registration-card,Home,"Voting and elections","Voter registration","Voter registration card","Voter registration card","Voter registration card","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-tarjeta-registro-electoral
5,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/election-day/can-i-vote-online,250,"Can you vote online?",https://www.usa.gov/voting-and-elections/how-to-vote/election-day/can-i-vote-online,Home,"Voting and elections","How, where, and when to vote","Voting on Election Day","Can you vote online?","Can you vote online?","USAGov English",not_homepage,https://www.usa.gov/es/votar-por-internet
5,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/election-day/voter-id,251,"Voter ID requirements",https://www.usa.gov/voting-and-elections/how-to-vote/election-day/voter-id,Home,"Voting and elections","How, where, and when to vote","Voting on Election Day","Voter ID requirements","Voter ID requirements","USAGov English",not_homepage,https://www.usa.gov/es/identificacion-para-votar-eeuu
5,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/election-day/find-polling-place,252,"Find your polling place",https://www.usa.gov/voting-and-elections/how-to-vote/election-day/find-polling-place,Home,"Voting and elections","How, where, and when to vote","Voting on Election Day","Find your polling place","Find your polling place","USAGov English",not_homepage,https://www.usa.gov/es/encontrar-centro-de-votacion
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-registration/confirm-voter-registration,270,"How to confirm your voter registration status",https://www.usa.gov/voting-and-elections/voter-registration/confirm-voter-registration,Home,"Voting and elections","Voter registration","Confirm your voter registration","Confirm your voter registration","Confirm your voter registration","USAGov English",not_homepage,https://www.usa.gov/es/averigue-si-esta-registrado-para-votar
4,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/absentee-voting,245,"Absentee voting or voting by mail",https://www.usa.gov/voting-and-elections/how-to-vote/absentee-voting,Home,"Voting and elections","How, where, and when to vote","Absentee voting or voting by mail","Absentee voting or voting by mail","Absentee voting or voting by mail","USAGov English",not_homepage,https://www.usa.gov/es/voto-ausente
4,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/early-voting,248,"Early voting",https://www.usa.gov/voting-and-elections/how-to-vote/early-voting,Home,"Voting and elections","How, where, and when to vote","Early voting","Early voting","Early voting","USAGov English",not_homepage,https://www.usa.gov/es/voto-por-adelantado
4,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/voting-political-party,246,"Do you have to vote for the party you are registered with?",https://www.usa.gov/voting-and-elections/how-to-vote/voting-political-party,Home,"Voting and elections","How, where, and when to vote","Do you have to vote for the party you&#039;re registered with?","Do you have to vote for the party you&#039;re registered with?","Do you have to vote for the party you&#039;re registered with?","USAGov English",not_homepage,https://www.usa.gov/es/votar-partido-de-registro-electoral
3,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/voter-research,230,"Decide who to vote for",https://www.usa.gov/voting-and-elections/voter-research,Home,"Voting and elections","Decide who to vote for","Decide who to vote for","Decide who to vote for","Decide who to vote for","USAGov English",not_homepage,https://www.usa.gov/es/informacion-sobre-candidatos
3,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/midterm-state-and-local-elections,263,"Congressional, state, and local elections",https://www.usa.gov/voting-and-elections/midterm-state-and-local-elections,Home,"Voting and elections","Congressional, state, and local elections","Congressional, state, and local elections","Congressional, state, and local elections","Congressional, state, and local elections","USAGov English",not_homepage,https://www.usa.gov/es/elecciones-legislativas-estatales-y-locales
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voting-laws/is-voting-required,255,"Is voting mandatory in the U.S.?",https://www.usa.gov/voting-and-elections/voting-laws/is-voting-required,Home,"Voting and elections","Voting and election laws","Is voting mandatory?","Is voting mandatory?","Is voting mandatory?","USAGov English",not_homepage,https://www.usa.gov/es/no-es-obligatorio-votar
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-research/write-in-candidates,227,"Write-in candidates for federal and state elections",https://www.usa.gov/voting-and-elections/voter-research/write-in-candidates,Home,"Voting and elections","Decide who to vote for","Write-in candidates for federal and state elections","Write-in candidates for federal and state elections","Write-in candidates for federal and state elections","USAGov English",not_homepage,https://www.usa.gov/es/agregar-candidato-boleta-votacion
3,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/voting-laws,260,"Voting and election laws",https://www.usa.gov/voting-and-elections/voting-laws,Home,"Voting and elections","Voting and election laws","Voting and election laws","Voting and election laws","Voting and election laws","USAGov English",not_homepage,https://www.usa.gov/es/leyes-votaciones
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-research/who-you-can-vote-for,228,"Use voter guides and sample ballots to learn about candidates",https://www.usa.gov/voting-and-elections/voter-research/who-you-can-vote-for,Home,"Voting and elections","Decide who to vote for","Voter guides and sample ballots","Voter guides and sample ballots","Voter guides and sample ballots","USAGov English",not_homepage,https://www.usa.gov/es/candidatos-guias-votar-boletas-muestra
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voting-laws/voter-fraud,256,"Voter fraud, voter suppression, and other election crimes",https://www.usa.gov/voting-and-elections/voting-laws/voter-fraud,Home,"Voting and elections","Voting and election laws","Voter fraud, suppression and other crimes","Voter fraud, suppression and other crimes","Voter fraud, suppression and other crimes","USAGov English",not_homepage,https://www.usa.gov/es/fraude-electoral-delitos-electorales
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voting-laws/voting-rights,257,"Voting rights laws and constitutional amendments",https://www.usa.gov/voting-and-elections/voting-laws/voting-rights,Home,"Voting and elections","Voting and election laws","Voting rights laws","Voting rights laws","Voting rights laws","USAGov English",not_homepage,https://www.usa.gov/es/leyes-derecho-a-votar
4,"Content Page","Standard Page",basic_page,/health/health-insurance/medicare,93,"How and when to apply for Medicare",https://www.usa.gov/health/health-insurance/medicare,Home,Health,"Health insurance",Medicare,Medicare,Medicare,"USAGov English",not_homepage,https://www.usa.gov/es/seguros-medicos-medicare
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voting-laws/voter-accessibility-laws,259,"Voter accessibility laws",https://www.usa.gov/voting-and-elections/voting-laws/voter-accessibility-laws,Home,"Voting and elections","Voting and election laws","Voter accessibility laws","Voter accessibility laws","Voter accessibility laws","USAGov English",not_homepage,https://www.usa.gov/es/leyes-de-accesibilidad-votantes
3,"Navigation Page","Navigation Page",basic_page,/voting-and-elections/election,269,"Presidential election process",https://www.usa.gov/voting-and-elections/election,Home,"Voting and elections","Presidential election process","Presidential election process","Presidential election process","Presidential election process","USAGov English",not_homepage,https://www.usa.gov/es/elecciones-presidenciales-estados-unidos
4,"Content Page","Standard Page",basic_page,/about-the-us/buy-from-government/real-estate-sales,149,"Real estate and federal lands for sale by the government",https://www.usa.gov/about-the-us/buy-from-government/real-estate-sales,Home,"About the U.S. and its government","Buying from the U.S. government","Real estate and federal lands for sale","Real estate and federal lands for sale","Real estate and federal lands for sale","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/about/website-policies-and-notices/how-to-cite,186,"How to cite USA.gov",https://www.usa.gov/about/website-policies-and-notices/how-to-cite,Home,"About USAGov","Website policies and notices","How to cite USA.gov","How to cite USA.gov","How to cite USA.gov","USAGov English",not_homepage,https://www.usa.gov/es/como-citar
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voting-laws/campaign-finance-laws,258,"Federal campaign finance laws",https://www.usa.gov/voting-and-elections/voting-laws/campaign-finance-laws,Home,"Voting and elections","Voting and election laws","Federal campaign finance laws","Federal campaign finance laws","Federal campaign finance laws","USAGov English",not_homepage,https://www.usa.gov/es/leyes-federales-financiamiento-candidatos
4,"Content Page","Standard Page",basic_page,/voting-and-elections/election/presidential-election-process,264,"Overview of the presidential election process",https://www.usa.gov/voting-and-elections/election/presidential-election-process,Home,"Voting and elections","Presidential election process","Overview of the presidential election process","Overview of the presidential election process","Overview of the presidential election process","USAGov English",not_homepage,https://www.usa.gov/es/proceso-eleccion-presidencial
2,"Content Page","Standard Page",basic_page,/pa11y-text,1956,"Pa11y Text",https://www.usa.gov/pa11y-text,Home,Home,Home,Home,Home,Home,"USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/voting-and-elections/election/requirements-for-presidential-candidates,265,"Constitutional requirements for presidential candidates",https://www.usa.gov/voting-and-elections/election/requirements-for-presidential-candidates,Home,"Voting and elections","Presidential election process","Requirements for presidential candidates","Requirements for presidential candidates","Requirements for presidential candidates","USAGov English",not_homepage,https://www.usa.gov/es/requisitos-ser-candidato-presidencia-eeuu
4,"Content Page","Standard Page",basic_page,/voting-and-elections/election/presidential-general-election,616,"Presidential general election",https://www.usa.gov/voting-and-elections/election/presidential-general-election,Home,"Voting and elections","Presidential election process","Presidential general election","Presidential general election","Presidential general election","USAGov English",not_homepage,https://www.usa.gov/es/elecciones-presidenciales-generales
3,"Content Page","Standard Page",basic_page,/voting-and-elections/inauguration,231,"Inauguration of the president of the United States",https://www.usa.gov/voting-and-elections/inauguration,Home,"Voting and elections","Inauguration of the president","Inauguration of the president","Inauguration of the president","Inauguration of the president","USAGov English",not_homepage,https://www.usa.gov/es/dia-inuguracion-presidencial
3,"Content Page","Standard Page",basic_page,/disasters-and-emergencies/hurricane-idalia,1961,"Hurricane Idalia",https://www.usa.gov/disasters-and-emergencies/hurricane-idalia,Home,"Disasters and emergencies","Hurricane Idalia","Hurricane Idalia","Hurricane Idalia","Hurricane Idalia","USAGov English",not_homepage,https://www.usa.gov/es/huracan-idalia
4,"Content Page","Standard Page",basic_page,/voting-and-elections/how-to-vote/when-to-vote,1963,"Find out when to vote",https://www.usa.gov/voting-and-elections/how-to-vote/when-to-vote,Home,"Voting and elections","How, where, and when to vote","Find out when to vote","Find out when to vote","Find out when to vote","USAGov English",not_homepage,None
3,"Navigation Page","Navigation Page",basic_page,/benefits/food-help,120,"Food assistance",https://www.usa.gov/benefits/food-help,Home,"Government benefits","Food assistance","Food assistance","Food assistance","Food assistance","USAGov English",not_homepage,https://www.usa.gov/es/asistencia-alimentaria
3,"Content Page","Standard Page",basic_page,/disasters-and-emergencies/help-disaster-survivors,189,"How to help survivors after a disaster",https://www.usa.gov/disasters-and-emergencies/help-disaster-survivors,Home,"Disasters and emergencies","Help survivors after a disaster","Help survivors after a disaster","Help survivors after a disaster","Help survivors after a disaster","USAGov English",not_homepage,https://www.usa.gov/es/ayudar-sobrevivientes-desastre
3,"Navigation Page","Navigation Page",basic_page,/benefits/help-with-utility-bills,103,"Help with utility bills",https://www.usa.gov/benefits/help-with-utility-bills,Home,"Government benefits","Help with utility bills","Help with utility bills","Help with utility bills","Help with utility bills","USAGov English",not_homepage,https://www.usa.gov/es/ayuda-pagar-facturas
4,"Content Page","Standard Page",basic_page,/voting-and-elections/election/national-conventions,267,"National conventions",https://www.usa.gov/voting-and-elections/election/national-conventions,Home,"Voting and elections","Presidential election process","National conventions","National conventions","National conventions","USAGov English",not_homepage,https://www.usa.gov/es/convenciones-nacionales
4,"Content Page","Standard Page",basic_page,/education/financial-aid/student-loan-problems,300,"Resolve student loan payment problems",https://www.usa.gov/education/financial-aid/student-loan-problems,Home,Education,"Financial aid and loans","Student loan payment problems","Student loan payment problems","Student loan payment problems","USAGov English",not_homepage,https://www.usa.gov/es/problemas-pagos-prestamos-estudiantiles
4,"Content Page","Standard Page",basic_page,/education/financial-aid/repaying-student-loan,304,"Get started repaying your federal student loan",https://www.usa.gov/education/financial-aid/repaying-student-loan,Home,Education,"Financial aid and loans","Repaying your federal student loan","Repaying your federal student loan","Repaying your federal student loan","USAGov English",not_homepage,https://www.usa.gov/es/pagar-prestamo-federal-estudiantes
4,"Content Page","Standard Page",basic_page,/voting-and-elections/midterm-state-and-local-elections/midterm-elections,262,"Congressional elections and midterm elections",https://www.usa.gov/voting-and-elections/midterm-state-and-local-elections/midterm-elections,Home,"Voting and elections","Congressional, state, and local elections","Congressional elections and midterm elections","Congressional elections and midterm elections","Congressional elections and midterm elections","USAGov English",not_homepage,https://www.usa.gov/es/elecciones-legislativas-elecciones-mitad-del-mandato
3,"Navigation Page","Navigation Page",basic_page,/health/health-insurance,89,"Health insurance",https://www.usa.gov/health/health-insurance,Home,Health,"Health insurance","Health insurance","Health insurance","Health insurance","USAGov English",not_homepage,https://www.usa.gov/es/seguros-medicos
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/benefits,123,"Government benefits",https://www.usa.gov/benefits,Home,"Government benefits","Government benefits","Government benefits","Government benefits","Government benefits","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-gobierno
4,"Content Page","Standard Page",basic_page,/benefits/food-help/food-assistance,83,"Get food assistance with the WIC program",https://www.usa.gov/benefits/food-help/food-assistance,Home,"Government benefits","Food assistance","Food assistance with the WIC program","Food assistance with the WIC program","Food assistance with the WIC program","USAGov English",not_homepage,https://www.usa.gov/es/wic-asistencia-mujeres-ninos-bebes
4,"Content Page","Standard Page",basic_page,/benefits/food-help/school-meals,97,"School meals and food programs for children",https://www.usa.gov/benefits/food-help/school-meals,Home,"Government benefits","Food assistance","School meals and food programs for children","School meals and food programs for children","School meals and food programs for children","USAGov English",not_homepage,https://www.usa.gov/es/comida-gratis-en-escuela
4,"Content Page","Standard Page",basic_page,/benefits/food-help/native-american-food-programs,99,"Food assistance for Native Americans",https://www.usa.gov/benefits/food-help/native-american-food-programs,Home,"Government benefits","Food assistance","Food assistance for Native Americans","Food assistance for Native Americans","Food assistance for Native Americans","USAGov English",not_homepage,None
3,"Navigation Page","Navigation Page",basic_page,/benefits/social-security,112,"Social Security",https://www.usa.gov/benefits/social-security,Home,"Government benefits","Social Security","Social Security","Social Security","Social Security","USAGov English",not_homepage,https://www.usa.gov/es/seguro-social
3,"Content Page","Standard Page",basic_page,/disasters-and-emergencies/hawaii-wildfires,1957,"Hawaii wildfires",https://www.usa.gov/disasters-and-emergencies/hawaii-wildfires,Home,"Disasters and emergencies","Hawaii wildfires","Hawaii wildfires","Hawaii wildfires","Hawaii wildfires","USAGov English",not_homepage,https://www.usa.gov/es/hawaii-incendios-forestales
4,"Content Page","Standard Page",basic_page,/benefits/social-security/social-security-calculators,105,"Use Social Security retirement calculators to estimate your benefits",https://www.usa.gov/benefits/social-security/social-security-calculators,Home,"Government benefits","Social Security","Social Security retirement calculators","Social Security retirement calculators","Social Security retirement calculators","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-jubilacion-seguro-social
4,"Content Page","Standard Page",basic_page,/benefits/food-help/senior-food-programs,98,"Food assistance programs for older adults",https://www.usa.gov/benefits/food-help/senior-food-programs,Home,"Government benefits","Food assistance","Food assistance programs for older adults","Food assistance programs for older adults","Food assistance programs for older adults","USAGov English",not_homepage,https://www.usa.gov/es/programas-alimentos-adultos-mayores
4,"Content Page","Standard Page",basic_page,/benefits/food-help/emergency-food-assistance,100,"How to get emergency food assistance",https://www.usa.gov/benefits/food-help/emergency-food-assistance,Home,"Government benefits","Food assistance","Get emergency food assistance","Get emergency food assistance","Get emergency food assistance","USAGov English",not_homepage,https://www.usa.gov/es/conseguir-alimentos-emergencia
4,"Content Page","Standard Page",basic_page,/benefits/help-with-utility-bills/help-with-phone-internet-bills,102,"Get help paying for phone and internet service",https://www.usa.gov/benefits/help-with-utility-bills/help-with-phone-internet-bills,Home,"Government benefits","Help with utility bills","Help paying for phone and internet service","Help paying for phone and internet service","Help paying for phone and internet service","USAGov English",not_homepage,https://www.usa.gov/es/ayuda-pagar-telefono-internet
3,"Content Page","Standard Page",basic_page,/benefits/find-government-benefits,113,"Use Benefits.gov to find government benefits you qualify for",https://www.usa.gov/benefits/find-government-benefits,Home,"Government benefits","Find government benefits","Find government benefits","Find government benefits","Find government benefits","USAGov English",not_homepage,https://www.usa.gov/es/encontrar-beneficios-gobierno
4,"Content Page","Standard Page",basic_page,/taxes/tax-refunds/check-tax-status,454,"Check your federal or state tax refund status",https://www.usa.gov/taxes/tax-refunds/check-tax-status,Home,Taxes,"Tax refunds","Check your tax refund status","Check your tax refund status","Check your tax refund status","USAGov English",not_homepage,https://www.usa.gov/es/averiguar-estado-reembolso-impuestos
3,"Navigation Page","Navigation Page",basic_page,/benefits/government-death-benefits,1941,"Government death benefits",https://www.usa.gov/benefits/government-death-benefits,Home,"Government benefits","Government death benefits","Government death benefits","Government death benefits","Government death benefits","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-muerte-sobrevivientes
4,"Content Page","Standard Page",basic_page,/taxes/file-federal-taxes/was-tax-return-received,443,"Find out if your federal or state tax return was received",https://www.usa.gov/taxes/file-federal-taxes/was-tax-return-received,Home,Taxes,"Filing federal taxes","Was your tax return received","Was your tax return received","Was your tax return received","USAGov English",not_homepage,https://www.usa.gov/es/confirmar-declaracion-impuestos-fue-recibida
4,"Content Page","Standard Page",basic_page,/benefits/social-security/social-security-report-a-death,106,"Report the death of a Social Security or Medicare beneficiary",https://www.usa.gov/benefits/social-security/social-security-report-a-death,Home,"Government benefits","Social Security","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary","Report the death of a Social Security beneficiary","USAGov English",not_homepage,https://www.usa.gov/es/reportar-muerte-al-seguro-social
3,"Content Page","Standard Page",basic_page,/voting-and-elections/election-results,232,"Find results from past elections",https://www.usa.gov/voting-and-elections/election-results,Home,"Voting and elections","Results of past elections","Results of past elections","Results of past elections","Results of past elections","USAGov English",not_homepage,https://www.usa.gov/es/resultados-elecciones-estados-unidos
4,"Content Page","Standard Page",basic_page,/voting-and-elections/election/electoral-college,268,"Electoral College",https://www.usa.gov/voting-and-elections/election/electoral-college,Home,"Voting and elections","Presidential election process","Electoral College","Electoral College","Electoral College","USAGov English",not_homepage,https://www.usa.gov/es/colegio-electoral
4,"Content Page","Standard Page",basic_page,/benefits/social-security/social-security-card,109,"How to get, replace, or correct a Social Security card",https://www.usa.gov/benefits/social-security/social-security-card,Home,"Government benefits","Social Security","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card","USAGov English",not_homepage,https://www.usa.gov/es/sacar-reemplazar-tarjeta-seguro-social
4,"Content Page","Standard Page",basic_page,/voting-and-elections/voter-registration/change-voter-registration,273,"How to update or change your voter registration",https://www.usa.gov/voting-and-elections/voter-registration/change-voter-registration,Home,"Voting and elections","Voter registration","Change your voter registration","Change your voter registration","Change your voter registration","USAGov English",not_homepage,https://www.usa.gov/es/actualizar-registro-electoral
3,"Content Page","Standard Page",basic_page,/benefits/report-incorrect-benefit-payments,111,"Where to report incorrect benefit payments",https://www.usa.gov/benefits/report-incorrect-benefit-payments,Home,"Government benefits","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments","USAGov English",not_homepage,https://www.usa.gov/es/reportar-pagos-equivocados-gobierno
4,"Content Page","Standard Page",basic_page,/benefits/food-help/food-stamps,87,"How to apply for food stamps (SNAP benefits) and check your balance",https://www.usa.gov/benefits/food-help/food-stamps,Home,"Government benefits","Food assistance","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)","USAGov English",not_homepage,https://www.usa.gov/es/solicitar-cupones-alimentos-snap
4,"Content Page","Standard Page",basic_page,/benefits/government-death-benefits/covid-funeral-assistance,137,"COVID-19 funeral assistance",https://www.usa.gov/benefits/government-death-benefits/covid-funeral-assistance,Home,"Government benefits","Government death benefits","COVID-19 funeral assistance","COVID-19 funeral assistance","COVID-19 funeral assistance","USAGov English",not_homepage,https://www.usa.gov/es/covid-ayuda-gastos-funebres
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/burial-survivor-benefits/military-survivor-benefits,335,"Military survivor benefits",https://www.usa.gov/military-and-veterans/military-pay-benefits/burial-survivor-benefits/military-survivor-benefits,Home,"Military and veterans","Military pay and benefits","Veterans burial and survivor benefits","Military survivor benefits","Military survivor benefits","USAGov English",not_homepage,https://www.usa.gov/es/beneficios-sobrevivientes-miembros-fuerzas-armadas
4,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/military-pay,328,"Military pay",https://www.usa.gov/military-and-veterans/military-pay-benefits/military-pay,Home,"Military and veterans","Military pay and benefits","Military pay","Military pay","Military pay","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/military-tuition-assistance,326,"Military tuition assistance",https://www.usa.gov/military-and-veterans/military-pay-benefits/military-tuition-assistance,Home,"Military and veterans","Military pay and benefits","Military tuition assistance","Military tuition assistance","Military tuition assistance","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/burial-survivor-benefits/veterans-death-benefits,336,"Veterans death benefits",https://www.usa.gov/military-and-veterans/military-pay-benefits/burial-survivor-benefits/veterans-death-benefits,Home,"Military and veterans","Military pay and benefits","Veterans burial and survivor benefits","Veterans death benefits","Veterans death benefits","USAGov English",not_homepage,https://www.usa.gov/es/subsidio-sepelio-veteranos
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/burial-survivor-benefits/veteran-burial,771,"Veteran burial in a national cemetery",https://www.usa.gov/military-and-veterans/military-pay-benefits/burial-survivor-benefits/veteran-burial,Home,"Military and veterans","Military pay and benefits","Veterans burial and survivor benefits","Veteran burial in a national cemetery","Veteran burial in a national cemetery","USAGov English",not_homepage,https://www.usa.gov/es/entierro-veteranos-cementerio-nacional
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/burial-survivor-benefits/military-funeral-honors,334,"Military funeral honors",https://www.usa.gov/military-and-veterans/military-pay-benefits/burial-survivor-benefits/military-funeral-honors,Home,"Military and veterans","Military pay and benefits","Veterans burial and survivor benefits","Military funeral honors","Military funeral honors","USAGov English",not_homepage,https://www.usa.gov/es/honores-funebres-fuerzas-armadas
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/veterans-health/get-veterans-health-benefits,338,"How to get veterans health benefits",https://www.usa.gov/military-and-veterans/military-pay-benefits/veterans-health/get-veterans-health-benefits,Home,"Military and veterans","Military pay and benefits","Veterans health","Get veterans health benefits","Get veterans health benefits","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/veterans-health/veterans-mental-health,339,"Mental health and substance abuse help for veterans",https://www.usa.gov/military-and-veterans/military-pay-benefits/veterans-health/veterans-mental-health,Home,"Military and veterans","Military pay and benefits","Veterans health","Mental health and substance abuse help","Mental health and substance abuse help","USAGov English",not_homepage,None
5,"Content Page","Standard Page",basic_page,/military-and-veterans/military-pay-benefits/veterans-health/vha-problems,340,"Problems with veterans health care",https://www.usa.gov/military-and-veterans/military-pay-benefits/veterans-health/vha-problems,Home,"Military and veterans","Military pay and benefits","Veterans health","Problems with veterans health care","Problems with veterans health care","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/military-veterans-id/military-id,323,"Get or replace a military or veteran ID card",https://www.usa.gov/military-and-veterans/military-veterans-id/military-id,Home,"Military and veterans","Military and veterans ID","Get or replace a military ID","Get or replace a military ID","Get or replace a military ID","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/military-veterans-id/lost-military-card,324,"How to report a lost or stolen military or veteran ID card",https://www.usa.gov/military-and-veterans/military-veterans-id/lost-military-card,Home,"Military and veterans","Military and veterans ID","Report a lost or stolen military ID","Report a lost or stolen military ID","Report a lost or stolen military ID","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/veteran-jobs-training/veteran-job-programs,344,"Job programs for veterans",https://www.usa.gov/military-and-veterans/veteran-jobs-training/veteran-job-programs,Home,"Military and veterans","Veterans jobs and training","Job programs for veterans","Job programs for veterans","Job programs for veterans","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/veteran-jobs-training/veteran-federal-jobs,343,"Federal jobs for veterans",https://www.usa.gov/military-and-veterans/veteran-jobs-training/veteran-federal-jobs,Home,"Military and veterans","Veterans jobs and training","Federal jobs for veterans","Federal jobs for veterans","Federal jobs for veterans","USAGov English",not_homepage,None
3,"Content Page","Standard Page",basic_page,/military-and-veterans/military-records,315,"How to get copies of military records",https://www.usa.gov/military-and-veterans/military-records,Home,"Military and veterans","Get copies of military records","Get copies of military records","Get copies of military records","Get copies of military records","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/locate-military-members/contact-servicemember-retiree,319,"Contact an active duty service member or retiree",https://www.usa.gov/military-and-veterans/locate-military-members/contact-servicemember-retiree,Home,"Military and veterans","Locate military members","Contact an active duty service member or retiree","Contact an active duty service member or retiree","Contact an active duty service member or retiree","USAGov English",not_homepage,None
4,"Content Page","Standard Page",basic_page,/military-and-veterans/locate-military-members/locate-military-base,321,"Locate a military installation",https://www.usa.gov/military-and-veterans/locate-military-members/locate-military-base,Home,"Military and veterans","Locate military members","Locate a military installation","Locate a military installation","Locate a military installation","USAGov English",not_homepage,None
2,"Navigation Cards Page","Navigation Cards Page",basic_page,/education,299,Education,https://www.usa.gov/education,Home,Education,Education,Education,Education,Education,"USAGov English",not_homepage,https://www.usa.gov/es/educacion
6,"Content Page","Standard Page",basic_page,/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery/dv-lottery-results,366,"Diversity Visa Lottery results and what to do if you were selected",https://www.usa.gov/immigration-and-citizenship/green-card-permanent-resident-immigrant-visa/visas/green-card-lottery/dv-lottery-results,Home,"Immigration and U.S. citizenship","Immigrant visas and Green Cards","Apply for an immigrant visa","Diversity Immigrant Visa (Green Card Lottery)","Diversity Visa Lottery results","USAGov English",not_homepage,https://www.usa.gov/es/resultados-loteria-visas
